epoch,train_loss,train_auc,val_loss,val_auc,lr,time_s
1,0.28647848493174505,0.9210465331850204,0.2389802700943417,0.9993815708101422,9.757729755661011e-05,166.22067189216614
2,0.2617972026530065,0.9609670928030304,0.23863525523079765,0.9993815708101422,9.05463412215599e-05,165.27965688705444
3,0.23256521515156092,0.9698998518751556,0.2419901192188263,0.9995877138734282,7.959536998847742e-05,165.92777013778687
4,0.23293794122965714,0.9718904651930056,0.23862300978766549,0.9997251425822854,6.57963412215599e-05,177.45252108573914
5,0.2154913693666458,0.9750743901320015,0.22974225050873226,0.9997938569367141,5.05e-05,164.09740495681763
6,0.22296758133329844,0.9737116463213461,0.22792367968294355,0.9998625712911428,3.5203658778440106e-05,198.4922959804535
7,0.21439162406482196,0.9751600470342304,0.22548735638459524,0.9998625712911428,2.1404630011522586e-05,193.77432918548584
8,0.19294359358517746,0.9734782723063973,0.2277068148056666,0.9998625712911428,1.0453658778440109e-05,179.41918897628784
9,0.2088610241679769,0.9791388980534477,0.22414671381314596,0.9998625712911428,3.4227024433899e-06,190.31939101219177
10,0.1924220676484861,0.9867573525280666,0.22424979507923126,0.9998625712911428,0.0001,187.60656595230103
11,0.2153214239760449,0.9904247322240423,0.2235632919602924,0.9997938569367141,9.757729755661011e-05,186.0019769668579
12,0.22028803080320358,0.976037211256602,0.22670384248097739,0.9997938569367141,9.05463412215599e-05,199.35084509849548
13,0.2284829675367004,0.9760244143846916,0.23858871890438926,1.0,7.959536998847742e-05,213.79867386817932
14,0.22753778550969928,0.9742131309798746,0.23579017321268717,0.9998625712911428,6.57963412215599e-05,197.1045320034027
15,0.20226223884444489,0.9555819047148528,0.23504718475871617,0.9998625712911428,5.05e-05,184.62179565429688
16,0.21123847630071013,0.9773633710719901,0.21783423754904005,0.9998625712911428,3.5203658778440106e-05,177.22273111343384
17,0.19299047616751572,0.9858199955431464,0.21895542078548008,0.9998625712911428,2.1404630011522586e-05,191.23921608924866
18,0.1943099656583447,0.9833341512489571,0.21895521548059252,0.9998625712911428,1.0453658778440109e-05,179.1316831111908
19,0.20776007902857505,0.9744281409021294,0.2168158557679918,0.9998625712911428,3.4227024433899e-06,191.47022199630737
20,0.19186596552792348,0.9893169981060606,0.217522285050816,0.9998625712911428,0.0001,199.87902688980103
