epoch,train_loss,train_auc,val_loss,val_auc,lr,time_s
1,0.2992972786489286,0.9357432506122287,0.27138947943846387,0.9997938569367141,9.757729755661011e-05,162.7829430103302
2,0.21726284215324804,0.9874178946228158,0.22486940026283264,0.9997251425822854,9.05463412215599e-05,147.27136397361755
3,0.1949868678654495,0.9830550973276146,0.22507975498835245,0.9998625712911428,7.959536998847742e-05,142.01318502426147
4,0.18416976154242692,0.9818572146048274,0.22313102583090463,0.9998625712911428,6.57963412215599e-05,147.75798678398132
5,0.1942138111120776,0.9868102305813612,0.21680582728650835,1.0,5.05e-05,146.66032195091248
6,0.16845181834344802,0.9927816202127764,0.2136507878700892,0.9999312856455713,3.5203658778440106e-05,216.86331605911255
7,0.17475145133702377,0.9860393823825414,0.2166969660255644,1.0,2.1404630011522586e-05,135.18559312820435
8,0.15492909244800868,0.9893268623737375,0.21801765263080597,1.0,1.0453658778440109e-05,147.02266597747803
9,0.16060247100693614,0.9815455970734257,0.21259449587927925,0.9999312856455713,3.4227024433899e-06,139.49438786506653
10,0.16187393341801667,0.9933139008283516,0.21267535951402453,0.9999312856455713,0.0001,140.6359782218933
11,0.188144196952252,0.9920791494194768,0.21837397747569615,0.9998625712911428,9.757729755661011e-05,139.57287502288818
12,0.19536782016879634,0.9832471853956228,0.21880365908145905,1.0,9.05463412215599e-05,712.5623569488525
