epoch,train_loss,train_auc,val_loss,val_auc,lr,time_s
1,0.29396567944633334,0.948169412875064,0.23288333250416648,0.9997938569367141,9.757729755661011e-05,191.81499910354614
2,0.22131819562300256,0.9744871962372614,0.2180069022708469,0.9999312856455713,9.05463412215599e-05,171.95204710960388
3,0.20487880275437706,0.9813976542727623,0.2264544682370292,1.0,7.959536998847742e-05,165.03298997879028
4,0.18309251003359495,0.9797190656565656,0.2123185694217682,1.0,6.57963412215599e-05,176.1642508506775
5,0.19188962661122022,0.9826129990102277,0.21019743548499215,1.0,5.05e-05,181.83582472801208
6,0.18415368603248344,0.9901941310450765,0.2064037240213818,1.0,3.5203658778440106e-05,2816.3899459838867
7,0.1873814313623466,0.9903629747870832,0.20845184392399257,1.0,2.1404630011522586e-05,114.60682511329651
8,0.16329183066753963,0.9921802197364886,0.20808969934781393,1.0,1.0453658778440109e-05,134.52862405776978
9,0.1821110199548696,0.9928735138232345,0.20580882993009356,1.0,3.4227024433899e-06,143.51065111160278
10,0.15674334950745106,0.9921742996887506,0.20674555169211495,1.0,0.0001,152.57372379302979
